# Frequency [GHz] Sensitivity [uK_CMB] deg
30 5.180
60 1.390
90 0.691
120 0.454
150 0.352
180 0.307
210 0.292
240 0.297
270 0.319
300 0.358
330 0.418
360 0.503
390 0.623
420 0.790
450 1.020
480 1.350
510 1.800
540 2.440
570 3.350
600 4.660
630 6.550
660 9.280
690 13.30
720 19.10
750 27.70
780 40.50
810 59.60
840 88.20
870 131.00
900 196.00
930 294.00
960 444.00
990 672.00
1020 1020
1050 1560
1080 2390
1110 3670
1140 5660
1170 8750
1200 13600
