

    0.171805785726359382E-03    0.133715073190919867E+03    0.722022036700358285E+02    0.796148278017796751E+00   -0.299542309725352007E+01
    0.218471000404741889E-03    0.133139257898919425E+03    0.755262929337150979E+02    0.800353076666730501E+00   -0.300684171407865186E+01
    0.216665355850547840E-03    0.133060618324051148E+03    0.712271741409391694E+02    0.800599028586734263E+00   -0.300184620502452537E+01
    0.229005847392027215E-03    0.132854593201996011E+03    0.737235323607189201E+02    0.793349071453909205E+00   -0.300874159303492217E+01
    0.387337594354366635E-03    0.131708256882944170E+03    0.737122746369509088E+02    0.808397735926711714E+00   -0.298777825986568324E+01
    0.436869225901414648E-03    0.131372344294742447E+03    0.758141760199489454E+02    0.800237301337046958E+00   -0.298750709459110730E+01
    0.711064494991614179E-03    0.130302847719774718E+03    0.677670885560166596E+02    0.812733103378065369E+00   -0.297798929070634166E+01
    0.787571273393435751E-03    0.130003228151424508E+03    0.719686026379097399E+02    0.800940932070047462E+00   -0.300516221337791345E+01
    0.773576833027675697E-03    0.129943847807737200E+03    0.678376752731258392E+02    0.828025338687411017E+00   -0.302106452324712738E+01
    0.141503337451131020E-02    0.128640842913897416E+03    0.766271995005049149E+02    0.793601342074318872E+00   -0.299278082175128723E+01
    0.169555608050545557E-02    0.128183889536500516E+03    0.657124137799488039E+02    0.821407132314232902E+00   -0.296751958488733392E+01
    0.272042499614157975E-02    0.127143096724141799E+03    0.715764461638140119E+02    0.811521500232497806E+00   -0.299838677593093639E+01
    0.289410206636453102E-02    0.126924085070562725E+03    0.771720112927101667E+02    0.787381217243564135E+00   -0.298706630777183157E+01
    0.288737435435853975E-02    0.126833501644515081E+03    0.679228339428875927E+02    0.823264978670166125E+00   -0.301557207233092894E+01
    0.290900954066974134E-02    0.126723333353364382E+03    0.740987692535029652E+02    0.797427731961641517E+00   -0.299446601571576965E+01
    0.285758862135513650E-02    0.126663764316950065E+03    0.731866125060180934E+02    0.808960833792129019E+00   -0.296624913210716912E+01
    0.277473242321870945E-02    0.126627373844351069E+03    0.771205927504503705E+02    0.787920978913588810E+00   -0.298561271168894526E+01
    0.271137254127828270E-02    0.126578334427132972E+03    0.714374908653148140E+02    0.802709209779261412E+00   -0.298489789415964202E+01
    0.266663536953344908E-02    0.126516371257807009E+03    0.727240612593196261E+02    0.803094480492594687E+00   -0.299810555104194254E+01
    0.256606158455977094E-02    0.126498023663357529E+03    0.685529404558880060E+02    0.813132040250813981E+00   -0.298692943249567833E+01
    0.283206506200505814E-02    0.126205517801487773E+03    0.730030457201649341E+02    0.805331197094876994E+00   -0.299102648588109155E+01
    0.292727955252591659E-02    0.126044144982413513E+03    0.726750705140036359E+02    0.798826085522154061E+00   -0.298192829125998049E+01
    0.295001624574434563E-02    0.125933432555153345E+03    0.664703125402880914E+02    0.820512729044343248E+00   -0.297772176089258034E+01
    0.312850840727083067E-02    0.125720703127113239E+03    0.709460036590039493E+02    0.810298935776790019E+00   -0.299902742202169081E+01
    0.317030151252694356E-02    0.125598924323958414E+03    0.703271733390975697E+02    0.810593821511959134E+00   -0.299788168734285065E+01
    0.501886730544734080E-02    0.124584931080418443E+03    0.752848286811022973E+02    0.794242117553181526E+00   -0.297783625993742884E+01
    0.504542482517530717E-02    0.124479137814076296E+03    0.733408191202947819E+02    0.800405990345712803E+00   -0.298290634490289008E+01
    0.568026671610211056E-02    0.124146867056318257E+03    0.730558101199381866E+02    0.800514980223517747E+00   -0.298023949138893141E+01
    0.553053478920148816E-02    0.124105056302928915E+03    0.718323400427458409E+02    0.805925754257239335E+00   -0.298537204841757253E+01
    0.544771195242846600E-02    0.124039995852660994E+03    0.725533485022562417E+02    0.807178654718815336E+00   -0.297718609346474850E+01
    0.632796005126488609E-02    0.123645193313117289E+03    0.725498347956879428E+02    0.809244612347591263E+00   -0.296294613631633474E+01
