    0.540113656812387646E+02    0.891777453502288875E+00   -0.306502116452449469E+01   -0.647136468895229200E+02
    0.561784790344954885E+02    0.887900624260787419E+00   -0.302548287322864073E+01   -0.609887094911946619E+02
    0.534536324094005053E+02    0.903849877094340171E+00   -0.304619155191470137E+01   -0.609290299489028229E+02
    0.608133975771443360E+02    0.857332748615382001E+00   -0.300783912839619694E+01   -0.605142822533620404E+02
    0.552533848591535417E+02    0.888857908444870670E+00   -0.303149771087412745E+01   -0.603218282399036241E+02
    0.528731010252174727E+02    0.911215972415793107E+00   -0.302967994573658750E+01   -0.602595501694168263E+02
    0.489558268455236956E+02    0.932455536892102699E+00   -0.305385247941846449E+01   -0.602547283262204729E+02
    0.567639069359691604E+02    0.876960247448000163E+00   -0.301806135931365116E+01   -0.601762499454940567E+02
    0.616787611916470482E+02    0.851077678663131776E+00   -0.299984287441028652E+01   -0.601664648579420884E+02
    0.548938632331151055E+02    0.888041162490140534E+00   -0.302025033466795589E+01   -0.598940216517404735E+02
    0.527862118267996649E+02    0.899250611835128666E+00   -0.300817126673564461E+01   -0.597621072755759712E+02
    0.516735219718454246E+02    0.907611859765785733E+00   -0.301447911112309619E+01   -0.597257335350052614E+02
    0.503095126683803073E+02    0.920326998619412251E+00   -0.303572940794661239E+01   -0.597182057979539280E+02
    0.638925298828647854E+02    0.843930810482019678E+00   -0.297161745381769293E+01   -0.593234411742244205E+02
    0.638925298828647854E+02    0.843930810482019678E+00   -0.297161745381769293E+01   -0.593234411742244205E+02
    0.500383063675780306E+02    0.928276580755434066E+00   -0.304755909170322870E+01   -0.592563266195964573E+02
    0.558753002145186457E+02    0.883758842981517523E+00   -0.301238992363475599E+01   -0.591036037570455193E+02
    0.538522242817603143E+02    0.904742493240203949E+00   -0.300513731648892612E+01   -0.590582264961877215E+02
    0.512273907797141490E+02    0.916195316692729689E+00   -0.303301425869055663E+01   -0.588322537097887022E+02
    0.513161430568049184E+02    0.918649713293162140E+00   -0.303446279333585700E+01   -0.587915314956562582E+02
    0.504605115873425660E+02    0.923244957587429971E+00   -0.303855745909560193E+01   -0.587685503808758654E+02
    0.558341327106620682E+02    0.889793897193126404E+00   -0.299867951110794939E+01   -0.586743652853808300E+02
    0.521390803055478429E+02    0.912417910056127601E+00   -0.302831665845293463E+01   -0.586732603761007425E+02
    0.521390803055478429E+02    0.912417910056127601E+00   -0.302831665845293463E+01   -0.586732603761007425E+02
    0.507660540332534183E+02    0.920884958719797586E+00   -0.303541850341233221E+01   -0.586418439978586434E+02
    0.523280091215269039E+02    0.912749975620858023E+00   -0.302180714778523063E+01   -0.585180788768919200E+02
    0.523280091215269039E+02    0.912749975620858023E+00   -0.302180714778523063E+01   -0.585180788768919200E+02
    0.527063648652277834E+02    0.910154380102557115E+00   -0.301834678444402371E+01   -0.584667398393011979E+02
    0.500860214781835325E+02    0.926770712899787186E+00   -0.303775918038427806E+01   -0.584637789095947014E+02
    0.510710514786306078E+02    0.916792970367522164E+00   -0.302672439757073519E+01   -0.583699917030468214E+02
    0.510710514786306078E+02    0.916792970367522164E+00   -0.302672439757073519E+01   -0.583699917030468214E+02
    0.564379187639057491E+02    0.887070019963481116E+00   -0.298378372698189542E+01   -0.583662836640332614E+02
    0.564379187639057491E+02    0.887070019963481116E+00   -0.298378372698189542E+01   -0.583662836640332614E+02
    0.529216621901164288E+02    0.908787836418967099E+00   -0.301483231828255072E+01   -0.583459101553263366E+02
    0.516031877568706960E+02    0.911486810573918893E+00   -0.301839043919610361E+01   -0.583031284319798289E+02
    0.521963061662214400E+02    0.906876822896317325E+00   -0.301434986957851425E+01   -0.582965911211378724E+02
    0.546596764148232594E+02    0.895883814488248165E+00   -0.300121288457841962E+01   -0.578835990124036428E+02
    0.511673398392695375E+02    0.917650778650154542E+00   -0.302388439508632256E+01   -0.578829498567082368E+02
    0.511673398392695375E+02    0.917650778650154542E+00   -0.302388439508632256E+01   -0.578829498567082368E+02
    0.520741695040991388E+02    0.912329428908324136E+00   -0.301904673692923886E+01   -0.578590071666196479E+02
    0.548232038157033301E+02    0.887923770589535533E+00   -0.299185372116588910E+01   -0.578250744181719938E+02
    0.546338059598095214E+02    0.891167822965190815E+00   -0.300048213871823810E+01   -0.578008010045253542E+02
    0.543709445179690789E+02    0.890704753458098297E+00   -0.299232212280121779E+01   -0.577860544128883049E+02
    0.543709445179690789E+02    0.890704753458098297E+00   -0.299232212280121779E+01   -0.577860544128883049E+02
    0.547483265297134878E+02    0.894312412190288342E+00   -0.300063599428409322E+01   -0.577028436511476102E+02
